ISO3,Year,Categoria,PIB,PIB per capital,System
ESP,2015,Hogareño,1206164777553.1245,25982.4416197775,Spain
ESP,2016,Hogareño,1243015667917.1238,26755.6061149398,Spain
ESP,2017,Hogareño,1321754088818.826,28381.3425596906,Spain
ESP,2018,Hogareño,1431642809327.058,30602.4212881113,Spain
EST,2010,Mixto,19524355419.03797,14663.7041018705,Estonia
EST,2011,Mixto,23303915794.756855,17555.5455239426,Estonia
EST,2012,Mixto,23237406116.39883,17568.2137969714,Estonia
EST,2013,Mixto,25451032780.757328,19310.3874900757,Estonia
EST,2014,Mixto,27055689003.003822,20581.7898991695,Estonia
EST,2015,Mixto,23311847750.93944,17722.1557669523,Estonia
EST,2016,Mixto,24561027787.789555,18666.3736521706,Estonia
EST,2017,Mixto,27469461919.11887,20851.5223496861,Estonia
EST,2018,Mixto,31222632740.72468,23618.1361254581,Estonia
FIN,2010,Mixto,249429613683.3338,46506.2919016566,Finland
FIN,2011,Mixto,275126915515.56476,51060.3242589767,Finland
FIN,2012,Mixto,257443384492.9688,47551.6740841369,Finland
FIN,2013,Mixto,270268036626.27527,49691.0145200739,Finland
FIN,2014,Mixto,273478528954.901,50073.7760815871,Finland
FIN,2015,Mixto,233210733506.24988,42560.3456767103,Finland
FIN,2016,Mixto,238777818792.60757,43451.2562442158,Finland
FIN,2017,Mixto,253846138440.00043,46085.0174739036,Finland
FIN,2018,Mixto,273869255596.07825,49654.2497035329,Finland
FRA,2010,Hogareño,2646230027988.3384,40694.8211697025,France
FRA,2011,Hogareño,2870408553990.278,43929.7840873812,France
FRA,2012,Hogareño,2683007095787.227,40863.5814412333,France
FRA,2013,Hogareño,2816077607875.2627,42669.1795111893,France
FRA,2014,Hogareño,2861236112552.4214,43148.0459288416,France
FRA,2015,Hogareño,2442483452642.4985,36702.4323733379,France
FRA,2016,Hogareño,2470407619777.1265,37024.2157133669,France
FRA,2017,Hogareño,2588868323334.7104,38687.1626407164,France
FRA,2018,Hogareño,2781576320884.39,41418.1766484844,France
GBR,2010,Hogareño,2485482596184.7095,39598.957119545,United Kingdom
GBR,2011,Hogareño,2663805834828.0723,42109.6418795749,United Kingdom
GBR,2012,Hogareño,2707089726614.636,42490.1465463521,United Kingdom
GBR,2013,Hogareño,2784853502534.292,43419.0352598932,United Kingdom
GBR,2014,Hogareño,3064708247921.4277,47426.6209829995,United Kingdom
GBR,2015,Hogareño,2927911140916.731,44983.885522934,United Kingdom
GBR,2016,Hogareño,2689106566899.611,40988.1044233026,United Kingdom
GBR,2017,Hogareño,2680148052335.299,40629.2340347345,United Kingdom
GBR,2018,Hogareño,2871340347581.7856,43315.4874501318,United Kingdom
GRC,2010,Mixto,296417644404.0339,26653.0488008626,Greece
GRC,2011,Mixto,283228079776.04144,25504.7866510124,Greece
GRC,2012,Mixto,238841140018.23288,21624.346052551,Greece
GRC,2013,Mixto,236556279640.70535,21573.3449762805,Greece
GRC,2014,Mixto,233911581521.06232,21474.7257123892,Greece
GRC,2015,Mixto,194567373678.09912,17980.7298238137,Greece
GRC,2016,Mixto,193097239005.87012,17919.2426377048,Greece
GRC,2017,Mixto,200381103984.298,18631.9930129293,Greece
GRC,2018,Mixto,213298873494.3936,19873.4015238771,Greece
HRV,2010,Mixto,58981738868.75296,13731.2865213989,Croatia
HRV,2011,Mixto,62903737379.78343,14694.9993201417,Croatia
HRV,2012,Mixto,57551963753.2104,13508.6836989693,Croatia
HRV,2013,Mixto,59852401272.32039,14136.3967669505,Croatia
HRV,2014,Mixto,59612144078.413345,14187.9694531493,Croatia
HRV,2015,Mixto,51005200669.69412,12285.3032582105,Croatia
HRV,2016,Mixto,52654855638.1057,12821.1738140304,Croatia
HRV,2017,Mixto,56186190437.99587,13902.6310485422,Croatia
HRV,2018,Mixto,61668130122.58781,15460.4183295843,Croatia
HUN,2011,Mixto,141712804953.86835,14211.460557822,Hungary
HUN,2012,Mixto,128470269689.95816,12950.1594488143,Hungary
HUN,2013,Mixto,135646053778.58244,13739.4620151401,Hungary
HUN,2014,Mixto,141128696412.3213,14352.501883174,Hungary
HUN,2015,Mixto,125244126623.28946,12782.9412577973,Hungary
HUN,2016,Mixto,128983560865.29254,13215.8605277789,Hungary
HUN,2017,Mixto,143335098991.86218,14736.1668157258,Hungary
HUN,2018,Mixto,161184691013.83466,16605.0570511887,Hungary
IRL,2010,Mixto,221985621537.50043,48679.4026820361,Ireland
IRL,2011,Mixto,241337364609.73785,52692.7813135606,Ireland
IRL,2012,Mixto,227270922957.327,49411.7387476787,Ireland
IRL,2013,Mixto,243301556084.98892,52619.2123745817,Ireland
IRL,2014,Mixto,266787238499.03003,57278.2590911107,Ireland
IRL,2015,Mixto,302391428540.03467,64311.8234684057,Ireland
IRL,2016,Mixto,305733136180.907,64192.9418053178,Ireland
IRL,2017,Mixto,348532394023.5947,72198.1076995377,Ireland
IRL,2018,Mixto,395461216460.4177,80738.9628834696,Ireland
ISL,2017,Mixto,24728285177.460316,72010.1490316258,Iceland
ISL,2018,Mixto,26260850582.06868,74452.1890731447,Iceland
ITA,2010,Mixto,2144936254535.004,35856.8625485539,Italy
ITA,2011,Hogareño,2306974020278.215,38432.3742820019,Italy
ITA,2012,Hogareño,2097929495121.68,34854.3949441965,Italy
ITA,2013,Hogareño,2153225581941.457,35701.6746002376,Italy
ITA,2014,Hogareño,2173255507985.8352,36028.3494022349,Italy
ITA,2015,Hogareño,1845428048839.1008,30639.8829751432,Italy
ITA,2016,Hogareño,1887111188176.931,31391.5692898108,Italy
ITA,2017,Hogareño,1970720904584.7092,32844.115660604,Italy
ITA,2018,Hogareño,2099435266458.665,34904.1081923834,Italy
LTU,2010,Mixto,36638128534.06432,11829.122609457,Lithuania
LTU,2011,Mixto,43186501862.790695,14261.8433787325,Lithuania
LTU,2012,Mixto,42709372066.862656,14288.1853493139,Lithuania
LTU,2013,Mixto,46303660422.043365,15636.5252586048,Lithuania
LTU,2014,Mixto,48306546656.92814,16446.1647181663,Lithuania
LTU,2015,Mixto,41540954817.20389,14269.8039878287,Lithuania
LTU,2016,Mixto,42970749245.03357,14934.2702840428,Lithuania
LTU,2017,Mixto,47756764508.44596,16800.1510246099,Lithuania
LTU,2018,Mixto,54261795148.53722,19247.2315367967,Lithuania
LUX,2010,Mixto,56213985987.41678,110885.991378721,Luxembourg
LUX,2011,Mixto,61696281326.245255,119025.057203467,Luxembourg
LUX,2012,Mixto,59776383527.36017,112584.676270958,Luxembourg
LUX,2013,Mixto,65203276466.976265,120000.140729859,Luxembourg
LUX,2014,Mixto,68804811897.64447,123678.702143275,Luxembourg
LUX,2015,Mixto,60071584216.13747,105462.012584423,Luxembourg
LUX,2016,Mixto,62216885435.94879,106899.293549552,Luxembourg
LUX,2017,Mixto,65712180342.98364,110193.213797228,Luxembourg
LUX,2018,Mixto,71085623495.11446,116926.759593905,Luxembourg
LVA,2010,Mixto,23468324572.33428,11188.4191700977,Latvia
LVA,2011,Mixto,26575547900.824738,12902.574053337,Latvia
LVA,2012,Mixto,27116149948.668335,13329.3499931271,Latvia
LVA,2013,Mixto,29152128167.84381,14484.4715282132,Latvia
LVA,2014,Mixto,30277203767.405777,15185.814581236,Latvia
LVA,2015,Mixto,26344565876.89022,13321.9753140616,Latvia
LVA,2016,Mixto,27117105059.507458,13838.5266823272,Latvia
LVA,2017,Mixto,29391059767.425938,15132.4958333982,Latvia
LVA,2018,Mixto,33247935477.357624,17252.1710428626,Latvia
MLT,2010,Mixto,9097044182.15877,21946.6070188242,Malta
MLT,2011,Mixto,9789361705.089266,23516.9691282762,Malta
MLT,2012,Mixto,9609532105.589088,22878.3131257656,Malta
MLT,2013,Mixto,10796782633.52569,25415.5566806942,Malta
MLT,2014,Mixto,11888032861.804,27424.5765369278,Malta
MLT,2015,Mixto,11340795032.93036,25529.6813131565,Malta
MLT,2016,Mixto,12025782885.277184,26459.0772054811,Malta
MLT,2017,Mixto,14161366732.715322,30317.2443357939,Malta
MLT,2018,Mixto,16153779511.155882,33382.2677502638,Malta
NGA,2014,Mixto,574183763411.5076,3088.72131316169,Nigeria
NGA,2015,Mixto,493026682800.6295,2585.73360671797,Nigeria
NGA,2016,Mixto,404649125252.15955,2070.4127339595,Nigeria
NGA,2017,Mixto,375745731053.4268,1876.34027111773,Nigeria
NGA,2018,Mixto,421739251509.0796,2057.87944554011,Nigeria
NLD,2010,Mixto,852464982433.335,51305.7338533973,Netherlands
NLD,2011,Mixto,913140741332.6866,54701.7728030611,Netherlands
NLD,2012,Mixto,845689017065.6252,50473.9442002689,Netherlands
NLD,2013,Mixto,883951539006.6692,52602.2860520766,Netherlands
NLD,2014,Mixto,901556501756.4674,53457.2234864322,Netherlands
NLD,2015,Mixto,775743675302.734,45793.8135434697,Netherlands
NLD,2016,Mixto,797163949289.8853,46808.5291492503,Netherlands
NLD,2017,Mixto,848233537845.8838,49513.6817346384,Netherlands
NLD,2018,Mixto,929733599796.862,53955.0770024266,Netherlands
NOR,2010,Mixto,431052143940.4382,88163.2085931423,Norway
NOR,2011,Mixto,501360549669.4038,101221.813476644,Norway
NOR,2012,Mixto,512777309840.997,102175.919298374,Norway
NOR,2013,Mixto,526014468085.1064,103553.840134417,Norway
NOR,2014,Mixto,501736471832.84814,97666.6951838749,Norway
NOR,2015,Mixto,388159512245.53046,74809.9658049898,Norway
NOR,2016,Mixto,370956547619.0476,70867.3609970749,Norway
NOR,2017,Mixto,401745275035.26074,76131.8384032764,Norway
NOR,2018,Mixto,439788625883.7995,82792.8427113304,Norway
POL,2010,Mixto,478111630683.5141,12567.7317676382,Poland
POL,2011,Mixto,527848543023.4693,13867.6669408192,Poland
POL,2012,Mixto,498148649702.66,13087.420943321,Poland
POL,2013,Mixto,518179836405.3601,13621.9023794031,Poland
POL,2014,Mixto,542134167178.6268,14262.2841914116,Poland
POL,2015,Mixto,480054118583.3665,12637.5220324406,Poland
POL,2016,Mixto,473259623976.26245,12464.0121044827,Poland
POL,2017,Mixto,528356723263.0732,13913.3415190124,Poland
POL,2018,Mixto,594616632477.0186,15658.210586693,Poland
PRT,2010,Mixto,238443864993.21713,22551.935098809,Portugal
PRT,2011,Mixto,245426767676.00244,23246.5425416481,Portugal
PRT,2012,Mixto,216536676771.97272,20593.4274224109,Portugal
PRT,2013,Mixto,226677408291.74533,21676.4859642714,Portugal
PRT,2014,Mixto,230078616299.6753,22120.6850127107,Portugal
PRT,2015,Mixto,199038523119.63937,19215.7813014347,Portugal
PRT,2016,Mixto,206305431241.63824,19980.2808866516,Portugal
PRT,2017,Mixto,220862990767.2286,21442.3842768879,Portugal
PRT,2018,Mixto,242092894542.88766,23541.1401075289,Portugal
ROU,2010,Mixto,170064350671.8273,,Romania
ROU,2011,Mixto,192623977894.17337,,Romania
ROU,2012,Mixto,179117323107.08725,,Romania
ROU,2013,Mixto,189798603751.23535,,Romania
ROU,2014,Mixto,199722319675.74103,,Romania
ROU,2015,Mixto,177885131240.31528,,Romania
ROU,2016,Mixto,185290759248.84393,,Romania
ROU,2017,Mixto,210147385855.41937,,Romania
ROU,2018,Mixto,243468683030.3401,,Romania
SVK,2010,Mixto,91112160800.76685,,Slovakia
SVK,2011,Mixto,99705104723.43404,,Slovakia
SVK,2012,Mixto,94724394278.05196,,Slovakia
SVK,2013,Mixto,99134277850.34184,,Slovakia
SVK,2014,Mixto,101713075598.86238,,Slovakia
SVK,2015,Mixto,89178548717.33238,,Slovakia
SVK,2016,Mixto,90347173228.63564,,Slovakia
SVK,2017,Mixto,95978130734.97664,,Slovakia
SVK,2018,Mixto,106611673364.8368,,Slovakia
SVN,2010,Mixto,47793117240.90009,23329.8417691156,Slovenia
SVN,2011,Mixto,51199194599.30944,24940.6284841605,Slovenia
SVN,2012,Mixto,46167053954.33673,22442.1417859955,Slovenia
SVN,2013,Mixto,47867056858.88915,23236.9655321695,Slovenia
SVN,2014,Mixto,49514466379.605705,24013.0682060959,Slovenia
SVN,2015,Mixto,42709468274.81365,20697.2748530619,Slovenia
SVN,2016,Mixto,44290685824.0682,21447.8377796036,Slovenia
SVN,2017,Mixto,48153200134.66126,23303.077705959,Slovenia
SVN,2018,Mixto,53689067639.91761,25888.0481065655,Slovenia
SWE,2010,Mixto,492753255885.71826,52542.8274141037,Sweden
SWE,2011,Mixto,570541353128.7235,60379.7748160321,Sweden
SWE,2012,Mixto,549742183874.3553,57749.8251328664,Sweden
SWE,2013,Mixto,584128116410.29,60844.2767113975,Sweden
SWE,2014,Mixto,577730245154.1624,59583.7140001673,Sweden
SWE,2015,Mixto,501698263620.6632,51197.9529341175,Sweden
SWE,2016,Mixto,514218206628.3252,51820.3972482676,Sweden
SWE,2017,Mixto,536083940228.68365,53300.8587281785,Sweden
SWE,2018,Mixto,551312498430.1636,54181.9069780904,Sweden
THA,2010,Mixto,341104766329.1696,4973.86288823778,Thailand
THA,2011,Mixto,370818739623.62195,5373.6232832898,Thailand
THA,2012,Mixto,397558325278.5791,5725.52802835463,Thailand
THA,2013,Mixto,420333654592.54706,6018.08244729255,Thailand
THA,2014,Mixto,407339040197.6513,5801.1978916205,Thailand
THA,2015,Mixto,401296238228.0839,5688.85335397884,Thailand
THA,2016,Mixto,413366349747.5081,5833.57715617098,Thailand
THA,2017,Mixto,456356813536.7637,6413.09182530343,Thailand
THA,2018,Mixto,506754208404.4847,7099.77650081458,Thailand
USA,2010,Internacional,15048971000000.0,48642.6312088213,United States
USA,2011,Internacional,15599732000000.0,50024.8812320773,United States
USA,2012,Internacional,16253970000000.0,51708.3940614082,United States
USA,2013,Internacional,16880683000000.0,53297.3862901595,United States
USA,2014,Internacional,17608138000000.0,55153.3940182967,United States
USA,2015,Internacional,18295019000000.0,56849.4697923159,United States
USA,2016,Internacional,18804913000000.0,57976.628204291,United States
USA,2017,Internacional,19612102000000.0,60047.7190728307,United States
USA,2018,Internacional,20656516000000.0,62875.6661382728,United States
ALB,2010,Indefinido,12086545641.299042,4149.14469936847,Albania
ALB,2011,Indefinido,12973755874.536465,4465.70914328865,Albania
ALB,2012,Indefinido,12246499747.971436,4222.3470988913,Albania
ALB,2013,Indefinido,12796985886.147848,4420.23461988353,Albania
ALB,2014,Indefinido,13296322588.168371,4602.23051443229,Albania
ALB,2015,Indefinido,11470171826.95748,3981.72662261867,Albania
ALB,2016,Indefinido,11988668784.662786,4168.37544462548,Albania
ALB,2017,Indefinido,13258268435.604792,4614.0479692596,Albania
ARE,2014,Indefinido,414105366752.8931,51381.4069901746,United Arab Emirates
ARE,2015,Indefinido,370275469571.1368,43534.9972694631,United Arab Emirates
ARE,2016,Indefinido,369255326235.5344,41326.4018161569,United Arab Emirates
ARE,2017,Indefinido,390516804029.95233,42340.5917160161,United Arab Emirates
ARG,2017,Indefinido,643628393281.364,14532.5009308511,Argentina
ARM,2011,Indefinido,10142111824.583546,3349.55309771906,Armenia
ARM,2012,Indefinido,10619320682.947445,3511.56399687426,Armenia
ARM,2013,Indefinido,11121464437.04153,3680.16692158886,Armenia
ARM,2014,Indefinido,11609513246.795769,3852.11800610384,Armenia
ARM,2015,Indefinido,10553337518.414,3512.39350276709,Armenia
ARM,2016,Indefinido,10546136235.521862,3524.42476874707,Armenia
ARM,2017,Indefinido,11527458709.015797,3869.05373867752,Armenia
BHR,2014,Indefinido,34772526595.74468,26451.7965647453,Bahrain
BHR,2015,Indefinido,32523297872.340424,23734.0551143019,Bahrain
BHR,2016,Indefinido,33884680851.06383,23800.001440631,Bahrain
BHR,2017,Indefinido,37204813829.78723,24784.7693514607,Bahrain
BIH,2010,Indefinido,17176315803.729836,4506.47828548389,Bosnia and Herzegovina
BIH,2011,Indefinido,18644233537.109337,4982.69375768263,Bosnia and Herzegovina
BIH,2012,Indefinido,17226735995.690475,4693.78899115381,Bosnia and Herzegovina
BIH,2013,Indefinido,18179108530.526096,5034.56616016469,Bosnia and Herzegovina
BIH,2014,Indefinido,18558733564.4692,5206.06558252,Bosnia and Herzegovina
BIH,2015,Indefinido,16404348871.443705,4662.25883724069,Bosnia and Herzegovina
BIH,2016,Indefinido,17116926327.624697,4928.5665251728,Bosnia and Herzegovina
