ISO3,Year,Promedio_Pasajeros_Internacionales,Promedio_Pasajeros_Nacionales
ESP,2015,11980.949166666667,2573.4260833333333
ESP,2016,13369.78325,2786.219833333333
ESP,2017,14471.469416666667,3013.871333333333
ESP,2018,15046.186666666668,3338.099083333333
EST,2010,113.034,2.0545
EST,2011,156.55025,2.4138333333333333
EST,2012,181.44516666666667,2.0904166666666666
EST,2013,161.61341666666667,1.6003333333333334
EST,2014,166.93133333333333,1.3858333333333333
EST,2015,178.45158333333333,1.6299166666666667
EST,2016,183.13566666666668,1.4798333333333333
EST,2017,217.55175,2.0436666666666667
EST,2018,247.312,2.3153333333333332
FIN,2010,997.5316666666666,187.52133333333333
FIN,2011,1135.0293333333332,229.50383333333332
FIN,2012,1144.8029166666668,226.765
FIN,2013,1177.157,203.29225
FIN,2014,1221.3114166666667,209.68283333333332
FIN,2015,1240.0091666666667,216.59466666666665
FIN,2016,1284.2561666666668,224.07333333333335
FIN,2017,1441.35675,229.88883333333334
FIN,2018,1598.4888333333336,249.30533333333335
FRA,2010,7730.80025,2160.6336666666666
FRA,2011,8206.934666666666,2294.1700833333334
FRA,2012,8480.65,2333.0551666666665
FRA,2013,8678.239833333333,2385.3330833333334
FRA,2014,9036.6435,2326.74575
FRA,2015,9391.788416666666,2347.1756666666665
FRA,2016,9692.722166666666,2413.994666666667
FRA,2017,10339.37175,2502.002
FRA,2018,10913.005916666667,2586.259
FRO,2015,,
FRO,2016,,
FRO,2017,,
GBR,2010,14325.416,1748.5618333333332
GBR,2011,15051.21525,1743.5141666666666
GBR,2012,15190.6025,1731.64875
GBR,2013,15762.540916666667,1776.5407500000001
GBR,2014,16513.32966666667,1821.8471666666667
GBR,2015,17453.467416666666,1902.4023333333334
GBR,2016,18815.99425,1923.0784999999998
GBR,2017,20101.0215,1951.433
GBR,2018,20710.7815,1971.7314166666665
GEO,2010,,
GEO,2011,,
GEO,2012,,
GEO,2013,,
GEO,2014,,
GEO,2015,,
GEO,2016,,
GEO,2017,,
GIB,2010,,
GIB,2011,,
GIB,2012,,
GIB,2013,,
GIB,2014,,
GIB,2015,,
GIB,2016,,
GIB,2017,,
GLP,2010,,
GLP,2011,,
GLP,2012,,
GLP,2013,,
GLP,2014,,
GLP,2015,,
GLP,2016,,
GLP,2017,,
GRC,2010,2183.766166666667,531.9064999999999
GRC,2011,2334.9855000000002,479.24275000000006
GRC,2012,2230.2814166666667,443.2465833333333
GRC,2013,2402.1524166666663,433.1754166666667
GRC,2014,2737.556416666667,522.263
GRC,2015,2884.533,623.5005
GRC,2016,3113.9325000000003,681.3484166666666
GRC,2017,3486.31575,694.57825
GRC,2018,3808.771666666667,712.7971666666667
GTM,2014,,
GTM,2015,,
GTM,2016,,
GTM,2017,,
HKG,2014,,
HKG,2015,,
HKG,2016,,
HKG,2017,,
HRV,2010,353.7295,36.055
HRV,2011,374.87149999999997,40.89816666666666
HRV,2012,413.48558333333335,38.400416666666665
HRV,2013,440.07283333333334,36.79775
HRV,2014,472.96558333333337,38.7675
HRV,2015,508.74666666666667,38.89483333333333
HRV,2016,582.3008333333333,40.65441666666667
HRV,2017,693.0369999999999,43.884083333333336
HRV,2018,766.9006666666666,44.0405
HUN,2010,681.2091666666666,
HUN,2011,740.3768333333333,0.29847826086956525
HUN,2012,702.4869166666667,0.239
